game_id,group_id,resource_type,total_cost,members,usage_weights,shapley_allocations,nucleolus_allocations,equal_split,method_chosen,fairness_score
bef4e36e-b97f-4d35-b818-642899b77d5a,group_084,space,17319.43,user_031|user_043,0.13|0.87,2335.89|14983.54,5181.61|12137.82,8659.72|8659.72,nucleolus,0.779
3e42416f-c84c-447f-8b61-d18529ceffe4,group_344,space,11913.45,user_006|user_007|user_015|user_034,0.51|0.36|0.07|0.07,6106.48|4233.82|786.64|786.51,4698.82|3668.86|1772.92|1772.84,2978.36|2978.36|2978.36|2978.36,shapley,1.0
68d0406f-0fb5-4435-8ed4-59c8f61052ad,group_349,subscription,15027.4,user_040|user_060|user_074|user_083|user_088|user_096,0.01|0.26|0.12|0.16|0.00|0.45,116.09|3901.95|1783.09|2388.72|40.35|6797.19,1190.91|3273.13|2107.76|2440.85|1149.25|4865.51,2504.57|2504.57|2504.57|2504.57|2504.57|2504.57,equal,0.947
74ad5e31-4c73-4a4d-b3bb-53ed991b1c50,group_367,accommodation,1697.2,user_081|user_082,0.88|0.12,1497.16|200.04,1205.31|491.89,848.60|848.60,shapley,1.0
b76d36c3-0bab-4ab9-b400-bf5d29a4ff17,group_211,vehicle,5699.26,user_025|user_060|user_067|user_076|user_097,0.10|0.10|0.17|0.36|0.27,551.06|556.36|996.11|2042.79|1552.94,816.01|818.93|1060.79|1636.47|1367.05,1139.85|1139.85|1139.85|1139.85|1139.85,shapley,1.0
0a324e1a-1bc3-493e-9222-6e6fe16c3145,group_066,tool,12179.13,user_004|user_025|user_076|user_093,0.19|0.53|0.08|0.19,2346.88|6452.27|1024.29|2355.69,2660.94|4918.90|1933.51|2665.78,3044.78|3044.78|3044.78|3044.78,shapley,1.0
aeda4515-5e19-4c7a-9e63-ce1c553ef64e,group_242,space,18960.86,user_008|user_014|user_015|user_024|user_057|user_080|user_096,0.10|0.14|0.34|0.05|0.16|0.20|0.01,1925.54|2569.77|6490.25|939.97|3047.04|3787.57|200.72,2277.96|2632.29|4788.55|1735.90|2894.78|3302.07|1329.31,2708.69|2708.69|2708.69|2708.69|2708.69|2708.69|2708.69,equal,0.931
9a740c10-c47b-4a9c-bf4b-df4fa8fc3dc3,group_163,tool,6342.08,user_018|user_020|user_059|user_067|user_068|user_097,0.10|0.02|0.01|0.32|0.37|0.18,645.75|129.08|46.44|2053.01|2327.05|1140.76,830.82|546.65|501.20|1604.81|1755.54|1103.07,1057.01|1057.01|1057.01|1057.01|1057.01|1057.01,nucleolus,0.904
3eb990e5-b9e4-4517-a2f9-c5ac248bc09e,group_384,space,10911.17,user_017|user_037,0.78|0.22,8505.02|2406.15,7132.78|3778.39,5455.59|5455.59,shapley,1.0
4578104e-1850-42b3-8761-ffcab06a9d5d,group_129,vehicle,14131.57,user_009|user_021|user_034|user_046|user_065|user_090,0.23|0.12|0.03|0.14|0.01|0.48,3269.83|1645.46|369.18|1938.92|99.26|6808.92,2858.28|1964.87|1262.92|2126.27|1114.46|4804.77,2355.26|2355.26|2355.26|2355.26|2355.26|2355.26,equal,0.892
8c792ccb-656e-4d2f-aa81-ee2df1e5726d,group_451,tool,10766.89,user_039|user_048|user_062|user_077|user_093,0.09|0.33|0.11|0.22|0.24,981.62|3560.74|1224.48|2406.41|2593.63,1508.91|2927.43|1642.49|2292.55|2395.52,2153.38|2153.38|2153.38|2153.38|2153.38,equal,0.745
